Item,Location,Quantity,Primary Category
Kotex Proactive Guard Overnight Wing 32CM 24'S,Shelf 1 rack B,0,KKMART.MY - PERSONAL CARE & BABY
Kotex Proactive Guard Overnight Wing 28CM 28'S,Shelf 1 rack C,0,KKMART.MY - PERSONAL CARE & BABY
Kotex Soft & Smooth Overnight Wing 32CM (12'S x 3 Packs),Shelf 1 rack D,0,KKMART.MY - PERSONAL CARE & BABY
Kotex Soft & Smooth Overnight Wing 28CM (14'S x 2 Packs),Shelf 1 rack A,0,KKMART.MY - PERSONAL CARE & BABY
Kotex Soft & Smooth Maxi Wing 24 CM (16'S x 3 Packs),Shelf 1 rack A,0,KKMART.MY - PERSONAL CARE & BABY
Kotex Soft & Smooth Maxi Non Wing 24CM (20'S x 3 Packs),Shelf 1 rack B,0,KKMART.MY - PERSONAL CARE & BABY
Spectables Vibration Cleaner - Yellow,Shelf 1 rack C,8,No Category
Spectables Vibration Cleaner - White,Shelf 1 rack D,8,No Category
Spectables Vibration Cleaner - Orange,Shelf 1 rack A,8,No Category
TikTok Earpods Free Gift,Shelf 1 rack B,0,No Category
TikTok Sunglasses Free Gift,Shelf 1 rack C,12,No Category
Maco Buy 2 Box Free 10 Pcs,Shelf 1 rack D,0,No Category
Anti-Fogging Glasses Wipes Cloth (100pcs in 1 Pack),Shelf 1 rack A,0,KK PLUS - HOME & LIVING
[CARTON] HIMALAYA SALT SPORTS CANDY LEMON 12*15G,Shelf 1 rack A,2,KKMART.MY - FOOD
HIMALAYA SALT SPORTS CANDY LEMON 12*15G,Shelf 1 rack B,11,KKMART.MY - FOOD
[CARTON] DESA NATURAL MINERAL WATER 24*500ML,Shelf 1 rack C,7,KKMART.MY - BEVERAGES
DESA NATURAL MINERAL WATER 24*500ML,Shelf 1 rack D,0,KKMART.MY - BEVERAGES
[CARTON] MR MUSCLE/DUCK BATHROOM FLORAL 12*900ML,Shelf 1 rack A,0,KKMART.MY - CLEANING
MR MUSCLE/DUCK BATHROOM FLORAL 900ML,Shelf 1 rack B,10,KKMART.MY - CLEANING
[CARTON] DASHING FOR MEN ROLL ON COOL 12*50ML,Shelf 1 rack C,0,KKMART.MY - PERSONAL CARE & BABY
DASHING FOR MEN ROLL ON COOL 12*50ML,Shelf 1 rack D,12,KKMART.MY - PERSONAL CARE & BABY
[CARTON] NIVEA FRESH ACTIVE ROLL ON (MEN) 6*50ML,Shelf 1 rack A,0,KKMART.MY - PERSONAL CARE & BABY
NIVEA FRESH ACTIVE ROLL ON (MEN) 6*50ML,Shelf 1 rack A,6,KKMART.MY - PERSONAL CARE & BABY
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
